BinBase name,F_PF_13_013,F_PF_14_014,F_PF_15_015,normF_PF_13_013,normF_PF_14_014,normF_PF_15_015
zymosterol,1049,1977,1347,1.5118819726638192e-5,2.9160513938349542e-5,1.7812977149256364e-5
xylose,1751238,2382274,2502165,0.02523989668297275,0.03513825704702464,0.03308909277555237
xylonic acid,3621,3966,2883,5.218803263122678e-5,5.849802644385143e-5,3.8125325257094355e-5
xylitol,16957,17757,19209,2.4439449580991785e-4,2.619136297436888e-4,2.5402336901266925e-4
vanillic acid,1116,1278,1090,1.6084464075241394e-5,1.8850347401725196e-5,1.4414361612983992e-5
valine,17808,21252,27241,2.566596202974003e-4,3.1346446242681055e-4,3.602400226599054e-4
uridine,653,2622,2614,9.41142924832673e-6,3.867418692278831e-5,3.45680195012295e-5
uric acid,267,479,462,3.84816479219485e-6,7.065192805497942e-6,6.109573454310646e-6
urea,9685,12922,11272,1.3958605248092553e-4,1.905979570618881e-4,1.4906301293720692e-4
UDP-glucuronic acid,9622,12655,12153,1.3867805854119415e-4,1.8665973894274832e-4,1.6071351989228847e-4
tyrosol,1133,1454,1474,1.6329478312946683e-5,2.1446326386626318e-5,1.949244863994349e-5
tryptophan,1112,1210,2827,1.602681366636956e-5,1.7847355521195217e-5,3.7384770898996094e-5
trehalose,22980,31860,33885,3.312015989686803e-4,4.699311957894873e-4,4.481015075742776e-4
trans-phytol,689,617,998,9.930282928173226e-6,9.100676327749958e-6,1.3197736596108279e-5
tocopherol alpha-,326,292,250,4.698508323054385e-6,4.306965134040499e-6,3.3060462415100897e-6
threose,220,178,162,3.1707724879508123e-6,2.6254787460931807e-6,2.1423179644985383e-6
threonine,4089,7111,5707,5.893313046923124e-5,1.0488640091836296e-4,7.547042360119233e-5
threonic acid,12059,15189,15481,1.738015701463584e-4,2.2403593637308606e-4,2.047236074592708e-4
tartaric acid,228,320,241,3.2860733056944783e-6,4.719961790729313e-6,3.1870285768157267e-6
sucrose,9280,15103,21966,1.3374894858265244e-4,2.2276744664182757e-4,2.9048244696404255e-4
succinic acid,19647,29426,21107,2.831643957762255e-4,4.3402998641875245e-4,2.7912287207821387e-4
succinate semialdehyde,463,531,496,6.6730348269146645e-6,7.832186596491455e-6,6.5591957431560185e-6
stigmasterol,1306,1602,2732,1.882285849665346e-5,2.3629308714838625e-5,3.612847332722226e-5
squalene,6024,5489,10935,8.682151576098042e-5,8.096209459160376e-5,1.4460646260365133e-4
spermidine,333,801,136,4.799396538580093e-6,1.1814654357419313e-5,1.7984891553814888e-6
sorbitol,6232152,3419267,2714468,0.08982152773785287,0.05043377997594265,0.03589662691639764
shikimic acid,6795,6889,7625,9.793363207102623e-5,1.016119274260445e-4,1.0083441036605773e-4
serine,7483,32803,12817,1.078495023969815e-4,4.8384033319154275e-4,1.6949437870973928e-4
salicylic acid,969,1475,1745,1.3965811549201532e-5,2.175607387914293e-5,2.3076202765740427e-5
saccharopine,125,113,82,1.8015752772447796e-6,1.666736507351289e-6,1.0843831672153094e-6
saccharic acid,2712,3497,3984,3.908697721510274e-5,5.158033244431378e-5,5.268515290470479e-5
ribulose MassBank,3749,11400,10563,5.403284571512543e-5,1.681486387947318e-4,1.3968706579628432e-4
ribose,47675,62647,65547,6.87120810741159e-4,9.240357696994353e-4,8.668056519690474e-4
ribonic acid,1503,1881,1932,2.166214113359123e-5,2.7744525401130745e-5,2.5549125354389973e-5
ribitol,13256,22652,23941,1.910534550012544e-4,3.3411429526125126e-4,3.1660021227197224e-4
resveratrol,78,89,77,1.1241829730007426e-6,1.3127393730465903e-6,1.0182622423851077e-6
raffinose,120946,170922,160273,0.001743146587853177,0.002521079091234487,0.0021194797970621863
quinic acid,1598761,1695740,1172472,0.02304230633458513,0.025011962521910396,0.015504986595503272
pyrophosphate,34160,35030,30681,4.923344917654534e-4,5.166883172788995e-4,4.0573121894308425e-4
putrescine,21018,32008,28485,3.0292407341704625e-4,4.721141781176996e-4,3.766909087576596e-4
propyleneglycol,83693,89541,93138,0.0012062339174275787,0.0013207190584490422,0.001231674139367067
proline,4511,17999,6326,6.50152486052096e-5,2.654831008479279e-4,8.365619409517132e-5
pipecolinic acid,945,3991,1275,1.3619909095970535e-5,5.886677345875216e-5,1.6860835831701456e-5
pinitol,141,1774,1968,2.0321769127321116e-6,2.6166288177355632e-5,2.6025196013167427e-5
phosphate,55407,77744,80455,7.985590510904121e-4,0.0011467147170576867,0.001063951801442777
phenylethylamine,3374,3585,4647,4.862811988339109e-5,5.287832193676434e-5,6.145278753718955e-5
phenylalanine,4795,4307,8589,6.910842763510975e-5,6.352773572709736e-5,1.1358252467332064e-4
pentono-gamma-lactone,499,668,552,7.191888506761161e-6,9.852920238147441e-6,7.2997501012542786e-6
pentitol,1166,2335,2174,1.6805094186139305e-5,3.444097119172796e-5,2.874937811617174e-5
palmitoleic acid,259,378,247,3.732863974451184e-6,5.575454865299002e-6,3.266373686611969e-6
oxoproline,43895,29886,31915,6.326411743572769e-4,4.4081493149292585e-4,4.2204986319117807e-4
oleic acid,3478,3823,4133,5.012703051405875e-5,5.638879351861927e-5,5.465555646464481e-5
oleamide NIST,892,1170,886,1.2856041178418748e-5,1.7257360297354053e-5,1.1716627879911759e-5
nicotinic acid MassBank,66034,382603,390063,9.517217748606543e-4,0.005643348565682524,0.0051582652604086005
N-acetylmannosamine,262,616,700,3.7761017811050585e-6,9.08592644715393e-6,9.256929476228251e-6
N-acetyl-D-galactosamine,1289,1586,2835,1.8577844258948167e-5,2.339331062530216e-5,3.749056437872442e-5
myristic acid,24070,28209,29785,3.469113353862548e-4,4.16079381733385e-4,3.938823492135121e-4
mucic acid,109310,130164,135374,0.001575441548445015,0.0019199034579015324,0.0017902108155927476
montanic acid,1089,3080,1586,1.5695323815356522e-5,4.5429632235769646e-5,2.0973557356140008e-5
methylmalonic acid,12012,18740,13773,1.7312417784211436e-4,2.7641276236958545e-4,1.8213669953727387e-4
methionine sulfoxide,466,291,442,6.716272633568539e-6,4.29221525344447e-6,5.8450897549898385e-6
methionine,106,114,116,1.5277358351035732e-6,1.681486387947318e-6,1.5340054560606816e-6
melezitose,232,297,256,3.343723714566311e-6,4.380714537020644e-6,3.385391351306332e-6
mannoheptulose,3166,5553,8032,4.563029862205578e-5,8.190608694974962e-5,1.0621665364723616e-4
mannitol,3195445,3248284,3113023,0.04605467769436356,0.047911801141991804,0.041167191955537856
maltose,2761,4913,3545,3.9793194723782695e-5,7.246616336829099e-5,4.687973570461307e-5
malonic acid,123,139,178,1.7727500728088632e-6,2.0502334028480457e-6,2.353904923955184e-6
malic acid,1220382,1410836,1180140,0.01758888031995631,0.020809662540579317,0.01560638964582287
maleic acid,1978,2670,3808,2.8508127187121395e-5,3.938218119139771e-5,5.0357696350681686e-5
lyxose,534929,729145,768584,0.007709718891850182,0.010754801687191642,0.010163896977939164
lysine,22969,32377,52704,3.310430603442828e-4,4.7755688405763436e-4,6.969674444501911e-4
loganin,255,454,321,3.6752135655793506e-6,6.6964457905972135e-6,4.244963374098955e-6
linolenic acid,1013,1903,1995,1.4599966046791695e-5,2.8069022774243386e-5,2.6382249007250518e-5
linoleic acid,10152,11850,15329,1.4631673771671203e-4,1.747860850629449e-4,2.0271353134443265e-4
lignoceric acid,7168,5160,4223,1.0330953269832464e-4,7.610938387551018e-5,5.5845733111588435e-5
levoglucosan,640,995,933,9.224065419493272e-6,1.467613119304896e-5,1.2338164573315654e-5
leucrose,852,6549,6526,1.227953708970042e-5,9.65969680233946e-5,8.630103108837939e-5
leucine,12085,22822,30356,1.7417629780402532e-4,3.366217749625762e-4,4.014333588291211e-4
lauric acid,5028,5217,3430,7.246656395189402e-5,7.695012706948384e-5,4.535895443351843e-5
lactic acid,13555,27536,27455,1.953628230644239e-4,4.0615271209225746e-4,3.6306999824263806e-4
kojic acid,92,102,138,1.325959404052158e-6,1.5044878207949686e-6,1.8249375253135696e-6
itaconic acid,9622,10800,10417,1.3867805854119415e-4,1.5929871043711432e-4,1.3775633479124242e-4
isothreonic acid,2086,2689,2820,3.0064688226660885e-5,3.9662428922722265e-5,3.729220160423381e-5
isomaltose,5464,9668,9694,7.875045851892381e-5,1.426018456024094e-4,1.2819524906079524e-4
isoleucine,7481,6745,18894,1.0782067719254558e-4,9.948794462021631e-5,2.4985775074836655e-4
isocitric acid,11537,16277,15859,1.6627819178858418e-4,2.4008380646156575e-4,2.0972234937643406e-4
indole-3-propionic acid,1140,1210,2429,1.6430366528472392e-5,1.7847355521195217e-5,3.2121545282512034e-5
homoserine,1356,1741,1607,1.954348860755137e-5,2.567954211768667e-5,2.1251265240426858e-5
histidine,1582,3944,4575,2.2800736708809932e-5,5.817352907073879e-5,6.050064621963464e-5
hexadecylglycerol NIST,2043,3379,3687,2.944494633128868e-5,4.9839846533982346e-5,4.875756996979081e-5
heptadecanoic acid,5022,6269,6773,7.238008833858626e-5,9.246700145650646e-5,8.956740477499135e-5
guanosine,124,121,189,1.7871626750268215e-6,1.7847355521195217e-6,2.499370958581628e-6
guanine,103,130,138,1.4844980284496985e-6,1.9174844774837835e-6,1.8249375253135696e-6
glycolic acid,2660,2327,2295,3.8337521899768915e-5,3.432297214695973e-5,3.0349504497062626e-5
glycine,8043,9738,6883,1.159205596390381e-4,1.4363433724413143e-4,9.10220651212558e-5
glycerol-alpha-phosphate,335,408,359,4.828221743016009e-6,6.0179512831798744e-6,4.747482402808489e-6
glycerol-3-galactoside,15477,20024,21862,2.2306384452733965e-4,2.953516090548868e-4,2.891071317275743e-4
glycerol,1557172,2170041,1637675,0.022442900620942466,0.032007845638487596,0.021656917114260144
glyceric acid,8746,11567,10259,1.2605261899826275e-4,1.7061186885426865e-4,1.3566691356660805e-4
glutaric acid,106,474,429,1.5277358351035732e-6,6.991443402517796e-6,5.673175350431314e-6
glutamine,3631,18643,20080,5.2332158653406364e-5,2.749820239517706e-4,2.655416341180904e-4
glutamic acid,3564,8337,5171,5.136651430480316e-5,1.2296975452909465e-4,6.83822604593947e-5
glucose,3740110,2994020,1382944,0.05390471768140778,0.04416143750212306,0.01828830725367572
gluconic acid lactone,4045495,4248682,7898360,0.058306110209738964,0.06266755219049813,0.10444937356837453
gluconic acid,77999,60100,68560,0.0011241685603985245,8.864678238213492e-4,9.06650121271727e-4
glucoheptulose,12059,10525,7038,1.738015701463584e-4,1.5524249327320634e-4,9.307181379099205e-5
galacturonic acid,2062623,2440350,2444741,0.029727764824611674,0.03599487111251962,0.032329707178062474
galactonic acid,67574,59856,60295,9.7391718227631e-4,8.828688529559181e-4,7.973522325274035e-4
galactinol,10562,14730,12970,1.522259046260749e-4,2.172657411795087e-4,1.7151767900954346e-4
fumaric acid,1985,2214,1976,2.86090154026471e-5,3.265623563960844e-5,2.613098949289575e-5
fucose,23655,28802,28826,3.4093010546580214e-4,4.2482606092683026e-4,3.812003558310794e-4
fructose,5705130,5407488,5425908,0.08222576929174008,0.07975980232446023,0.07175321100071812
flavin adenine,55,258,88,7.926931219877031e-7,3.8054691937755093e-6,1.1637282770115516e-6
ethanolamine,216551,191531,278647,0.0031210634229010743,0.0028250593804380504,0.003684879468232248
ethanol phosphate NIST,382,229,378,5.505614047260047e-6,3.377722656490665e-6,4.998741917163256e-6
erythrose major,429,372,448,6.183006351504084e-6,5.486955581722827e-6,5.924434864786081e-6
erythronic acid lactone,279,338,297,4.021116018810349e-6,4.985459641457838e-6,3.927582934913986e-6
erythritol,6116,6130,5742,8.814747516503259e-5,9.041676805365842e-5,7.593327007500374e-5
dihydroxyacetone,3924,3182,796,5.6555051103268125e-5,4.693412005656461e-5,1.0526451232968126e-5
digitoxose,12410,12303,16627,1.7886039352486174e-4,1.8146778097294608e-4,2.1987852343035305e-4
digalacturonic acid,288591,311414,300651,0.004159347286682786,0.004593319315931808,0.003975864434225
dehydroascorbic acid,26390,33411,33743,3.803485725319179e-4,4.928082605939285e-4,4.462236733090998e-4
dehydroabietic acid,1339,1724,321,1.929847436984608e-5,2.5428794147554176e-5,4.244963374098955e-6
conduritol-beta-epoxide,175,414,458,2.5222053881426914e-6,6.106450566756049e-6,6.056676714446485e-6
citric acid,678866,1058324,1038809,0.009784225617296437,0.015610152631911907,0.013737402360387419
citramalic acid,2389,2850,2777,3.443170669870223e-5,4.203715969868295e-5,3.672356165069408e-5
cis-p-coumaric acid HMDB,2199,215,160,3.1693312277290164e-5,3.1712243281462576e-6,2.1158695945664575e-6
cinnamic acid,469,296,319,6.759510440222414e-6,4.365964656424615e-6,4.218515004166875e-6
chlorogenic acid,169,246,1169,2.435729774834942e-6,3.6284706266231596e-6,1.545907222530118e-5
cerotinic acid,499,1225,587,7.191888506761161e-6,1.8068603730135655e-5,7.76259657506569e-6
cellobiose,18028,22842,32571,2.5983039278535113e-4,3.369167725744968e-4,4.3072492852890053e-4
catechin,208,281,172,2.9978212613353135e-6,4.144716447484179e-6,2.274559814158942e-6
caproic acid HMDB,5572,8544,14438,8.03070195584633e-5,1.2602297981247266e-4,1.909307825396907e-4
campesterol HMDB,1818,2022,2554,2.6202110832248077e-5,2.982425856517085e-5,3.377456840326708e-5
beta-sitosterol,16838,18062,19557,2.426793961459808e-4,2.664123433254777e-4,2.586253853808513e-4
beta-mannosylglycerate,276,437,530,3.977878212156474e-6,6.445697820464719e-6,7.008818032001391e-6
beta-gentiobiose,2255,4040,3983,3.250041800149583e-5,5.958951760795758e-5,5.267192871973875e-5
beta-alanine,1910,1706,1788,2.7528070236300233e-5,2.5163296296825653e-5,2.364484271928016e-5
benzoic acid,10437,11892,11380,1.5042432934883013e-4,1.754055800479781e-4,1.5049122491353928e-4
aspartic acid,15384,29579,22927,2.2172347252106953e-4,4.3628671814994487e-4,3.031908887164073e-4
asparagine,221847,376444,367806,0.0031973925642473813,0.00555250405109158,0.0048639345756194404
arbutin,309,450,482,4.4534940853490956e-6,6.637446268213097e-6,6.374057153631453e-6
arachidic acid,10641,14713,15436,1.533645002012936e-4,2.1701499320937623e-4,2.0412851913579897e-4
arabitol,185796,233433,121987,0.002677803841687769,0.003443108877172862,0.0016131786514523652
alpha-ketoglutarate,1113,1957,1379,1.604122626858752e-5,2.8865516326428958e-5,1.8236151068169655e-5
alanine,159416,267020,210824,0.0022975993951780305,0.003938513116751692,0.002787975571280493
adipic acid,1977,2205,2154,2.8493714584903436e-5,3.252348671424418e-5,2.8484894416850933e-5
adenosine,74,51,150,1.0665325641289096e-6,7.522439103974843e-7,1.983627744906054e-6
adenine,1260,2877,2305,1.815987879462738e-5,4.2435406474775736e-5,3.048174634672303e-5
aconitic acid,618,674,643,8.906988170698191e-6,9.941419521723616e-6,8.503150933163952e-6
6-deoxyhexitol NIST,545,722,707,7.854868208787239e-6,1.0649413790333013e-5,9.349498770990534e-6
6-deoxyglucose,58786,130176,128892,8.472592339848929e-4,0.0019200804564686847,0.001704491648642874
6-deoxyglucitol,10468,10202,8515,1.5087112001758684e-4,1.5047828184068892e-4,1.1260393498583366e-4
5-methyluridine NIST,105,160,167,1.513323232885615e-6,2.3599808953646567e-6,2.20843888932874e-6
5-hydroxynorvaline NIST,807,814,823,1.1630969989892297e-5,1.2006402805167691e-5,1.0883504227051216e-5
5-Hydroxymethyl-2-furancarboxaldehyde HMDB,243,134,215,3.502262338963852e-6,1.9764839998679e-6,2.843199767698677e-6
5'-deoxy-5'-methylthioadenosine,115,169,74,1.6574492550651975e-6,2.492729820728919e-6,9.785896874869866e-7
4-hydroxymandelic acid,1320,1581,307,1.9024634927704874e-5,2.3319561222322014e-5,4.059824784574391e-6
4-hydroxybutyric acid,287,464,381,4.136416836554014e-6,6.843944596557505e-6,5.038414472061377e-6
4-hydroxybenzoic acid,1502,2330,2015,2.1647728531373274e-5,3.436722178874781e-5,2.6646732706571325e-5
4-aminobutyric acid,22702,16012,26985,3.271948955520879e-4,2.3617508810361802e-4,3.568546313085991e-4
3-phenyllactic acid,546,657,390,7.869280811005198e-6,9.690671551591122e-6,5.15743213675574e-6
3-hydroxybutyric acid,4393,19649,17950,6.331456154349054e-5,2.898204038313759e-4,2.3737412014042446e-4
3-hydroxy-3-methylglutaric acid,204,216,209,2.9401708524634807e-6,3.185974208742287e-6,2.763854657902435e-6
3-dehydroshikimic acid,1128,1334,1288,1.6257415301856893e-5,1.9676340715102825e-5,1.7032750236259983e-5
"3,6-anhydro-D-galactose",1501,2770,3049,2.1633315929155315e-5,4.0857169251000624e-5,4.032053996145706e-5
"3,4-dihydroxycinnamic acid",1153,1402,1807,1.6617730357305847e-5,2.0679332595632804e-5,2.3896102233634928e-5
"3,4-dihydroxybenzoic acid",5174,6133,5442,7.457080387571592e-5,9.04610176954465e-5,7.196601458519164e-5
3-(4-hydroxyphenyl)propionic acid,1535,1387,1234,2.2123344404565896e-5,2.045808438669237e-5,1.6318644248093802e-5
2-monoolein,9397,13441,13703,1.3543522304215356e-4,1.982531450912272e-4,1.8121100658965105e-4
2-isopropylmalic acid,393,1076,380,5.664152671657587e-6,1.5870871521327317e-5,5.025190287095337e-6
2-hydroxyglutaric acid,5203,10762,4452,7.498876934003671e-5,1.5873821497446521e-4,5.8874071468811676e-5
2-deoxytetronic acid,491,510,371,7.0765876890174945e-6,7.522439103974844e-6,4.906172622400973e-6
2-deoxyerythritol,9941,10879,9990,1.4327567864872283e-4,1.6046395100420064e-4,1.321096078107432e-4
"2,3-dihydroxypyridine",682,918,895,9.829394712647517e-6,1.3540390387154719e-5,1.1835645544606122e-5
"2,3-dihydroxybutanoic acid NIST",115,185,162,1.6574492550651975e-6,2.7287279102653844e-6,2.1423179644985383e-6
1-monostearin,1047,3304,3151,1.5089994522202275e-5,4.873360548928016e-5,4.166940682799317e-5
1-monopalmitin,338,571,636,4.871459549669884e-6,8.422181820332619e-6,8.410581638401668e-6
1-methylinosine NIST,572,875,861,8.244008468672111e-6,1.2906145521525466e-5,1.138602325576075e-5
1-methyladenosine,3802,5476,5327,5.479671363267722e-5,8.077034614385537e-5,7.0445233314097e-5
1-kestose,123065,170036,159510,0.0017736868919530305,0.002508010697026405,0.0021093897439330976
1-deoxyerythritol,9941,10879,9990,1.4327567864872283e-4,1.6046395100420064e-4,1.321096078107432e-4
519282,1094,21335,22119,1.5767386826446312e-5,3.1468870251628097e-4,2.925057472638467e-4
519270,2473,3641,3818,3.5642365285010724e-5,5.370431525014197e-5,5.048993820034209e-5
519264,2272,3446,5225,3.2745432239201116e-5,5.08280885339163e-5,6.909636644756087e-5
519261,1409,3487,4125,2.030735652510316e-5,5.143283363835349e-5,5.454976298491648e-5
519249,346,2690,1131,4.9867603674135505e-6,3.9677178803318295e-5,1.4956553196591646e-5
519244,387124,22791,11777,0.005579464221024865,3.3616452866409933e-4,1.5574122634505732e-4
513995,1551,1869,3130,2.2353946040053226e-5,2.75675268339784e-5,4.139169894370632e-5
513551,486,1363,1242,7.004524677927704e-6,2.010408725238767e-5,1.6424437727822126e-5
511927,78,77,97,1.1241829730007426e-6,1.1357408058942412e-006,1.2827459417059148e-6
509528,175,414,458,2.5222053881426914e-6,6.106450566756049e-6,6.056676714446485e-6
486482,108,116,88,1.5565610395394898e-6,1.7109861491393762e-6,1.1637282770115516e-6
486432,1876,5663,2564,2.7038041760889656e-5,8.352857381531281e-5,3.390681025292748e-5
480022,11452,19105,18843,1.6505312060005774e-4,2.817964687871361e-4,2.491833173150985e-4
475884,756,410,923,1.0895927276776427e-5,6.047451044371933e-6,1.2205922723655251e-5
475793,28418,3152,3789,4.095773298299372e-4,4.649162363868374e-5,5.010643683632692e-5
474908,338,1689,1672,4.871459549669884e-6,2.4912548326693158e-5,2.211083726321948e-5
474901,3251,8823,8699,4.6855369810582233e-5,1.301381964987648e-4,1.1503718501958508e-4
472871,34671,156480,145972,4.996993314988301e-4,0.0023080613156666345,0.0019303607278628432
425117,1627,2344,2443,2.3449303808618052e-5,3.457372011709222e-5,3.2306683872036595e-5
418204,478,37274,31834,6.889223860184038e-6,5.497870493363889e-4,4.2097870420892877e-4
417918,2400,2591,2329,3.459024532309977e-5,3.821694062431141e-5,3.0799126785908e-5
414322,119,150,73,1.7150996639370302e-6,2.2124820894043656e-6,9.653655025209461e-7
408463,104929,157617,115450,0.00151229993812814,0.0023248319299043196,0.0015267321543293595
408457,317,478,275,4.568794903092761e-6,7.050442924901912e-6,3.636650865661099e-6
406896,1932,5287,1497,2.7845147485095316e-5,7.798261871120587e-5,1.9796604894162417e-5
404202,2539,4530,5836,3.659359703139597e-5,6.681695910001185e-5,7.717634346181153e-5
