BinBase name,L1_SAT_907,L2_SAT_907,L3_SAT_907,normL1_SAT_907,normL2_SAT_907,normL3_SAT_907
zymostenol,838,797,941,3.2429295013712233e-6,2.9837743585820134e-6,3.86571525649181e-6
xylulose,261589,261342,218587,0.0010123086937162255,9.784009515941537e-4,8.979756650061373e-4
xylose,12185,30164,23392,4.7154052475188965e-5,1.1292668726758827e-4,9.609650507954985e-5
xanthosine,11156,18409,8341,4.317198271753862e-5,6.89188232962814e-5,3.426560143931794e-5
xanthine,466731,604097,303232,0.0018061762877141913,0.0022615923948510895,0.0012457051739176667
valine,2244586,1987930,2445311,0.008686198278955642,0.0074423269267954095,0.010045564335353075
uridine-5'-monophosphate,4186,2634,2092,1.6199168129761265e-5,9.8610560357654e-6,8.594129985739496e-6
uridine,129934,192985,104856,5.028243458605829e-4,7.224889518079672e-4,4.3075817102519146e-4
uric acid,1501309,1114566,1041203,0.005809832036723305,0.004172664305831016,0.004277358472056367
urea,183851,241894,98698,7.114747395663494e-4,9.055923647363081e-4,4.0546053600980724e-4
uracil,608811,628924,538859,0.0023560037621232887,0.0023545386508115862,0.0022136827389988524
undecanoic acid,25339,24103,19393,9.805798405160551e-5,9.023577586562392e-5,7.96682422626415e-5
UDP-N-acetylglucosamine,36752,55690,25563,1.422245167474883e-4,2.0848982939702926e-4,1.0501517439075465e-4
UDP-glucuronic acid,5165,6507,5517,1.9987745673725976e-5,2.4360627040518393e-5,2.2664347577115105e-5
tyrosine,3361821,288261,6417435,0.013009723746097025,0.0010791791472762984,0.02636341805211957
tryptophan,4664804,4468705,3653752,0.01805206504739199,0.016729745790548603,0.015009952018955858
trisaccharide,1625,1587,710,6.2884969447831e-6,5.94134241790421e-6,2.9167458364603453e-6
tridecanoic acid,1236213,946051,892488,0.00478395179913917,0.003541785088721295,0.003666423462099747
tocopherol gamma-,1098,900,1291,4.249089012536519e-6,3.3693813334050336e-6,5.303547711084937e-6
tocopherol alpha-,4074,6020,3048,1.5765745571105446e-5,2.2537417363442558e-5,1.252146663314244e-5
thymine,4369,3539,3849,1.6907349631850685e-5,1.3249156154356017e-5,1.5812048907797e-5
threonine,1856090,1822960,1704681,0.007182779257995362,0.0068247193283822675,0.007002987618652193
terephthalic acid,2189,2745,5565,8.471089115157049e-6,1.0276613066885353e-5,2.2861536028030732e-5
tagatose,2125,2441,956,8.223419081639438e-6,9.138510927601876e-6,3.927336647402944e-6
sucrose,8735,20165,12951,3.380308973088023e-5,7.549286065345833e-5,5.320390891267314e-5
succinic acid,461207,534841,269355,0.0017847992679462027,0.0020023147574885353,0.0011065353165912342
stigmasterol,184,128,978,7.120513463631326e-7,4.792009007509381e-7,4.01771468740594e-6
stearic acid,1326084,1791521,1118797,0.005131738573862002,0.006707019350892355,0.004596121819146936
squalene,2397,3908,2757,9.276016724089286e-6,1.463060250105208e-5,1.1326011649466439e-5
spermidine,106986,107015,75654,4.1401915946742446e-4,4.006381593270441e-4,3.107936471993957e-4
sorbitol,4188025,129058,4568110,0.016207004564415532,4.831617956962076e-4,0.018766219469004038
sophorose,70878,106144,68717,2.7428682243220713e-4,3.9737734694771543e-4,2.8229580794935993e-4
shikimic acid,12069,12836,8281,4.67051505394383e-5,4.8054865328430016e-5,3.40191158756734e-5
serine,9137000,7196441,9469926,0.03535876712891273,0.02694172663594517,0.0389033341297008
salicyl alcohol,45720,60338,52376,1.769292801941436e-4,2.258908121055477e-4,2.1516546469077047e-4
saccharic acid,43809,48586,29505,1.6953400778707867e-4,1.818941794053522e-4,1.2120927592220068e-4
ribulose-5-phosphate,5088,3124,2627,1.96897676646501e-5,1.1695496983952583e-5,1.0791959594903276e-5
ribose-5-phosphate,1452,2733,5278,5.619013885430807e-6,1.0231687982439953e-5,2.1682513415264367e-5
ribonic acid,29825,35647,24381,1.1541810546348058e-4,1.3345370710209916e-4,1.0015940878695729e-4
ribitol,261494,337608,200503,0.0010119410585102226,0.0012639223257868962,8.236849161236741e-4
quinic acid,2653,4460,2136,1.0266696858159731e-5,1.66971563855405e-5,8.77488606574549e-6
pyrophosphate,488030,817236,63860,0.0018886001008999976,0.003059533025985107,2.623428015723347e-4
putrescine,183577,211118,142473,7.10414402235352e-4,7.903744981620043e-4,5.852922951521335e-4
pseudo-uridine,89299,68409,49113,3.4557322379826834e-4,2.561066751521166e-4,2.017607581212351e-4
prunin,30741,28025,14902,1.189628828182014e-4,1.0491879096519563e-4,6.121879782384797e-5
propyleneglycol,492060,857343,551459,0.0019041955733230598,0.0032096838894727464,0.0022654447073642047
proline,2147664,1716206,1442630,0.008311125232258862,0.00642505828964191,0.005926457811341954
pipecolinic acid,2697,3938,8296,1.043697000620309e-5,1.4742915212165582e-5,3.408073726658454e-5
phthalic acid,98812,63505,35041,3.82387052374097e-4,2.3774729064209629e-4,1.4395167726113654e-4
phosphoinositol,30049,44474,15447,1.1628495058079222e-4,1.664998504687283e-4,6.345770836028585e-5
phosphoethanolamine,818782,795694,247843,0.003168558834119013,0.0029788850118915387,0.0010181620258392131
phosphate,1808692,2283438,2017005,0.006999356379109929,0.008548637081319694,0.008286043571647462
phenylalanine,5699968,4244790,5347192,0.0220579885251455,0.015891462433582616,0.02196676056725925
phenylacetic acid,2524,3577,2785,9.767486946850797e-6,1.339141892176645e-5,1.144103824583389e-5
pentadecanoic acid,268773,449883,172891,0.0010401096549785772,0.0016842526471291743,7.102522597344585e-4
pelargonic acid,103778,105666,66633,4.0160469903735416e-4,3.9558783108397365e-4,2.737345427054397e-4
parabanic acid,34838,56891,41445,1.3481763480760223e-4,2.1298608159860642e-4,1.7025990308746337e-4
pantothenic acid,65725,116029,77515,2.543455148897657e-4,4.343843852596141e-4,3.184388077651037e-4
palmitoleic acid,330598,440713,236905,0.0012793627772008636,0.001649922395098814,9.732277075868141e-4
palmitic acid,1294881,1815706,1010541,0.005010987822989345,0.006797562114835023,0.004151396132848554
palatinitol,142558,145164,100120,5.516772599719318e-4,5.434587465360093e-4,4.1130224386818275e-4
oxoproline,7967465,10383054,5806524,0.030832848806256172,0.038871631479262744,0.023853739015925447
ornithine,793175,614905,787401,0.0030694637318020523,0.002302054920908247,0.003234716321654524
oleic acid,404281,622705,297355,0.0015645045128208346,0.002331256225797757,0.0012215619129586845
octadecanol,7634,8395,3091,2.9542391185522576e-5,3.142884032659473e-5,1.2698114620421023e-5
nonadecanoic acid,5829,34440,21412,2.2557322271471192e-5,1.289349923582993e-4,8.796248147928015e-5
N-methyl-UMP,40710,50776,33570,1.5754136038284306e-4,1.9009300731663779e-4,1.37908672859118e-4
N-methylethanolamine,1513962,1588939,1308762,0.0058587971763185915,0.005948601562799179,0.005376515654109175
nicotinic acid,357014,358228,306665,0.0013815885835352577,0.0013411185958922428,0.0012598082562508615
nicotinamide,34012,36538,30620,1.3162114343751556e-4,1.3678939462217013e-4,1.2578979931326164e-4
n-epsilon-trimethyllysine,45625,39344,32968,1.7656164498814088e-4,1.472943768683196e-4,1.3543560103721782e-4
N-alpha-acetyllysine,45591,33071,30588,1.7643007028283466e-4,1.2380978897448653e-4,1.2565834034598456e-4
N-acetylserine,12605,36127,29767,4.8779387070148294e-5,1.3525071047991517e-4,1.222855962167818e-4
N-acetylputrescine,40356,139756,124169,1.5617143550994878e-4,5.232125084792821e-4,5.100977658696402e-4
N-acetylglucosamine-6-phosphate,5049,5348,4903,1.9538843737975305e-5,2.0021612634500134e-5,2.0141978642486018e-5
N-acetylgalactosamine,22456,51991,23023,8.690122301049187e-5,1.9464167211673456e-4,9.458061886313595e-5
N-acetylaspartic acid,7296,9661,4613,2.823438382100769e-5,3.616843673558448e-5,1.8950631751537425e-5
myristic acid,1351489,1309506,918140,0.0052300519676356716,0.0049024723026465464,0.003771804256743241
myo-inositol,1130880,1657229,995411,0.004376329492256192,0.006204262730863878,0.0040892406898828575
methionine sulfoxide,882142,915480,307337,0.0034137521673014482,0.0034273346923396003,0.0012625688945636804
methionine,843185,508787,1019928,0.0032629946439304233,0.0019047749116434965,0.004189958799280742
methanolphosphate,19939,26342,15034,7.716082497355706e-5,9.861804787172823e-5,6.176106606386596e-5
melezitose,1285,1041,3653,4.97274989172079e-6,3.897251075638489e-6,1.5006862733224846e-5
maltotriose,72692,81564,33194,2.813067199447219e-4,3.053557989753869e-4,1.3636402999361223e-4
maltotriitol,18200,18349,10799,7.043116578157071e-5,6.869419787405441e-5,4.436329336328911e-5
maltose,314571,393530,4945763,0.0012173407830260705,0.0014732807068165365,0.020317653011788204
maltitol,1961,3695,10118,7.588764620750559e-6,1.3833182252146222e-5,4.1565682215923625e-5
malonic acid,2087,2361,2099,8.076364999238357e-6,8.839010364632539e-6,8.622886634831358e-6
malonamide,1112,713,807,4.3032668323684965e-6,2.66929876746421e-6,3.315230831019012e-6
malic acid,154385,47995,76346,5.974459081971316e-4,1.7968161899641622e-4,3.1363644736676267e-4
maleimide,58005,66503,77484,2.2447031709670382e-4,2.489710742393722e-4,3.1831145689055403e-4
lysine,2444897,3235677,3775629,0.009461370655267302,0.012113588538586666,0.015510634036294275
loganin,85128,89420,63048,3.2943210333261276e-4,3.347667542589757e-4,2.5900703027767865e-4
linolenic acid,74581,108199,48104,2.8861685577776517e-4,4.050707676589903e-4,1.9761569255927948e-4
linoleic acid,160815,263578,114943,6.223290068771042e-4,9.867719923291466e-4,4.721965023665654e-4
lignoceric acid,5927,6015,4625,2.2936567010295035e-5,2.2518698578256975e-5,1.899992886426633e-5
leucrose,35234,44252,7396,1.3635009313999244e-4,1.656687364064884e-4,3.0383453811916496e-5
leucine,9498447,8003675,10653223,0.036757510732113356,0.029963814604045038,0.04376442792976561
L-DOPA,6622109,1421739,1864501,0.025626530593551182,0.005322645386193266,0.00765954299834669
lauric acid,391444,298526,258450,0.001514827321879185,0.0011176088132623012,0.0010617365653988397
lactulose,59086,188907,45501,2.2865361875658722e-4,7.072219106106052e-4,1.8692232718983402e-4
lactose,88574,313953,144613,3.4276758669982664e-4,0.0011753637530739006,5.940836135887885e-4
lactobionic acid,33486,37152,24051,1.295856053495427e-4,1.390880614429598e-4,9.880373818691234e-5
lactitol,1303061,1406293,725950,0.005042643149148315,0.005264819314997961,0.0029822699154625175
lactic acid,2230811,183650,2104726,0.00863289117408525,6.875409798664827e-4,0.008646409573788502
kynurenine,117036,85550,14078,4.5291109441823686e-4,3.2027841452533405e-4,5.783372941646301e-5
kynurenic acid,4820,11236,5701,1.86526493992951e-5,4.206485406904329e-5,2.3420236638958347e-5
ketoisoleucine,22609,38710,36227,8.749330918436992e-5,1.4492083490678763e-4,1.4882387523584354e-4
isoxanthopterin,58558,52160,43776,2.2661034098006694e-4,1.9527436705600728e-4,1.7983586723505361e-4
isothreonic acid,14975,23241,11145,5.7950917998847334e-5,8.700865729962932e-5,4.57846934469726e-5
isomaltotriose,11292,733,5359,4.369828153876355e-5,2.744173908206544e-6,2.201526892618449e-5
isomaltose,6224,3684,5314,2.4085910759587702e-5,1.3792000924737938e-5,2.1830404753451088e-5
isoleucine,7253047,6315954,8273818,0.02806816239991891,0.023645397233605397,0.033989611553705154
isoheptadecanoic acid,55469,102883,33573,2.1465639201856849e-4,3.851689552496779e-4,1.3792099713730023e-4
isogluconic acid,1641905,2090499,1352600,0.006353916662230213,0.007826320342335434,0.005556606223093328
inulotriose,55448,60574,111525,2.145751252888205e-4,2.2677433876630725e-4,4.5815504142428167e-4
inosine-5-monophosphate,6162,9692,6993,2.3845980414617515e-5,3.6284493203735095e-5,2.8727892442770693e-5
inosine,2586668,2743741,1926111,0.010010002347795822,0.010271899676775623,0.007912642591282354
indole-3-acetate,3625,9608,7178,1.4028185492208453e-5,3.597001761261729e-5,2.948788959734135e-5
hypoxanthine,1716765,2017010,1154870,0.006643613204560344,0.007551195381434763,0.004744313048102759
hypotaurine,4279,2900,12327,1.6559063647216544e-5,1.0856895407638442e-5,5.064045905076996e-5
homoserine,15353,15868,15407,5.941371913431073e-5,5.940593666496786e-5,6.329338465118949e-5
histidine,8113532,6709617,4903193,0.031398105349784565,0.02511917586010787,0.020142771504382408
heptanoic acid,21418,21777,14997,8.288432465437812e-5,8.152779699729046e-5,6.160906663295183e-5
heptadecanoic acid,37987,56244,27415,1.4700377442552345e-4,2.1056387079559192e-4,1.12623362121916e-4
guanosine,113973,105585,91694,4.410577614078549e-4,3.952845867639672e-4,3.7668745454703506e-4
glycyl-proline,60598,36593,43067,2.345048232984408e-4,1.3699530125921156e-4,1.7692322949132067e-4
glycyl-glycine,31694,38741,30979,1.2265084441104957e-4,1.4503689137493824e-4,1.2726460460240146e-4
glycolic acid,26189,44331,28253,1.0134735168426129e-4,1.659644932124206e-4,1.160659438274847e-4
glycine,3097404,2783786,3019255,0.01198647113277474,0.010421818427326961,0.012403379507693069
glycerol-alpha-phosphate,196697,341036,160679,7.611867591064624e-4,0.0012767559249101323,6.600842313473405e-4
glycerol-3-galactoside,132086,148892,86833,5.111522507376126e-4,5.574154727703804e-4,3.567180157991002e-4
glycerol,3376708,3954712,2913379,0.013067334117799785,0.014805480879769876,0.011968431082085921
glyceric acid,129329,104541,81020,5.004830900749868e-4,3.9137610441721736e-4,3.3283767277467207e-4
glutaric acid,4043,1346,3697,1.5645780398620353e-5,5.0390969719590834e-6,1.5187618813230838e-5
glutamine,9207638,10691516,11471930,0.03563212518871924,0.04002643826244583,0.0471277522023444
glutamate,7323979,5782305,6195440,0.028342658193941897,0.021647545034505104,0.025451442007098424
glucose-6-phosphate,39903,28278,22432,1.5441839605395693e-4,1.0586596149558616e-4,9.215273606123726e-5
glucose,8001341,9879610,8174138,0.030963943650872464,0.03698685946146856,0.03358011687063703
gluconic acid lactone,197792,248594,161012,7.654242385861777e-4,9.3067553688499e-4,6.614522262255677e-4
gluconic acid,150975,183790,119824,5.842497392237714e-4,6.880651058516791e-4,4.922481029690485e-4
galacturonic acid,41235,61847,36016,1.5957302862654223e-4,2.315401414745568e-4,1.4795706767036028e-4
galactose,254046,313114,36095,9.831184583596107e-4,0.0011722227409197597,1.4828160699582556e-4
galactinol,4598,5464,3204,1.779354397053089e-5,2.0455888450805672e-5,1.3162329098618234e-5
fumaric acid,161083,54890,92069,6.233661251424591e-4,2.054948237673359e-4,3.782279893198134e-4
fructose-6-phosphate,22028,15689,13258,8.524492966134285e-5,5.8735804155323974e-5,5.446509337998768e-5
fructose-1-phosphate,7983,7262,5544,3.0892966837048297e-5,2.7187163603541507e-5,2.2775266080755144e-5
fructose,282471,368585,228129,0.0010931187818398935,0.0013798926875256605,9.371750858110734e-4
ethanolamine,10299149,11748548,9699125,0.039856102781763644,0.043983709250903384,0.039844904874730205
erythritol,228359,373069,214729,8.837137685007532e-4,0.0013966796940800916,8.821266432637936e-4
ergosterol,17886,13628,2596,6.921603467962494e-5,5.101992090182644e-5,1.06646087203536e-5
Dopamine,433092,108573,60793,0.0016759985961907707,4.064709327908719e-4,2.497432811773715e-4
digalacturonic acid,7776,6764,3581,3.0091909072389774e-5,2.532277259905739e-5,1.4711080056851402e-5
dehydroabietic acid,30103,32063,27190,1.1649392217157272e-4,1.2003608188107289e-4,1.1169904125824899e-4
cytidine,4890,3797,3221,1.892353849845499e-5,1.4215045469932126e-5,1.3232166674984185e-5
cystathionine,79514,93009,52109,3.077067975799898e-4,3.4820309826518755e-4,2.1406860393255228e-4
citrulline,394628,424820,378763,0.0015271489060466863,0.0015904228645079184,0.001555993525711591
citric acid,68563,58971,47642,2.653281329385623e-4,2.2077309623580915e-4,1.9571775371921655e-4
cholesterol,73843,101826,78312,2.857609107037652e-4,3.812118040614455e-4,3.2171295766884867e-4
chenodeoxycholic acid,1256,1020,523,4.860524407783122e-6,3.818632177859038e-6,2.148532496434874e-6
cerotinic acid,1269,7179,3236,4.910832383341387e-6,2.687643176946082e-5,1.329378806589532e-5
cellobiose minor,7189,6219,1022,2.7820310483720434e-5,2.3282425013828783e-5,4.198470767411933e-6
caproic acid,28287,35416,22122,1.0946628497051049e-4,1.325888992265252e-4,9.08792273157405e-5
capric acid,8670,10971,7634,3.355154985308891e-5,4.107275845420736e-5,3.1361179881039826e-5
campesterol,19523,17804,11662,7.555096975569258e-5,6.66538502888258e-5,4.790857738704302e-5
butylamine,137768,158237,9503,5.331407059008481e-4,5.92400882282236e-4,3.903920518856712e-5
biphenyl,5569,8976,6204,2.15511627603059e-5,3.360396316515954e-5,2.5486607280845043e-5
biopterin,13001,22580,10052,5.0311845402538515e-5,8.453403389809517e-5,4.129454809591463e-5
beta-sitosterol,401006,423947,336828,0.0015518307728244257,0.0015871545646145154,0.0013837206571876972
beta-alanyl lysine,410402,372220,347232,0.00158819182962023,0.0013935012443555797,0.0014264612539236598
beta-alanine,2030696,1310957,612456,0.007858477287251238,0.004907904494107403,0.002516026039457968
Benzaldehyde-4-carboxylic acid,7499,9941,7412,2.9019962208571363e-5,3.721668870597715e-5,3.044918329555504e-5
behenic acid,63007,66918,30982,2.4382727815381463e-4,2.5052473340977563e-4,1.2727692888058368e-4
azelaic acid,11664,14807,6106,4.513786360858466e-5,5.543381044858704e-5,2.508401419355897e-5
aspartate,818912,119433,822738,0.0031690619138745957,4.471281342139593e-4,0.0033798839943629737
asparagine,1780643,1523670,1518123,0.006890811117076562,0.005704250284743609,0.006236590055612237
arachidic acid,115869,139624,90401,4.4839498615081413e-4,5.227183325503827e-4,3.713756906504953e-4
arabitol,1106549,2023148,1313658,0.0042821723112324885,0.007574174562128586,0.005396628876102569
arabinose,18933,13609,9745,7.32677616342021e-5,5.094878951812123e-5,4.0033363628600085e-5
alpha-ketoglutarate,797959,624146,613631,0.003087977066807494,0.0023366509796882424,0.002520853048412673
alpha-aminoadipic acid,4441,2319,1599,1.7185978419557998e-5,8.681772569073636e-6,6.5688402711268895e-6
allantoin,58696,42818,10023,2.2714437948983927e-4,1.6030018881526303e-4,4.1175413406819775e-5
allantoic acid,100155,136147,65468,3.8758425323369314e-4,5.097012893323279e-4,2.689486146780083e-4
alanine,17640984,27534674,24820905,0.06826786091505695,0.10308312955221435,0.10196657931820811
adipic acid,14843,21882,16353,5.744009855471726e-5,8.192089148618772e-5,6.717964037131834e-5
adenosine-5-monophosphate,9006,11000,7413,3.485181752905637e-5,4.1181327408283744e-5,3.0453291388282448e-5
adenosine,9245,14516,10643,3.57767103104737e-5,5.434437715078608e-5,4.372243089781331e-5
adenine,10121,14729,9048,3.9166693894246e-5,5.514179739969194e-5,3.717002299759606e-5
aconitic acid,1549,1253,1233,5.994388779980937e-6,4.6909275675072304e-6,5.065278332895219e-6
9-myristoleate,96541,53720,40177,3.7359863602849555e-4,2.0111462803390934e-4,1.6505084150910884e-4
6-methylcholecalciferol,1084,681,718,4.194911192704542e-6,2.5494985422764757e-6,2.9496105782796167e-6
5-methyluridine,593,711,670,2.2948176543116174e-6,2.6618112533899766e-6,2.7524221273639874e-6
5-aminovaleric acid,20189,34164,15954,7.812828604198523e-5,1.2790171541605507e-4,6.554051137308217e-5
4-hydroxybutyric acid,803,1152,601,3.1074849517912796e-6,4.3128081067584435e-6,2.468963729172771e-6
3-phosphoglycerate,56113,35673,30872,2.1714857173083944e-4,1.3355104478506418e-4,1.2682503868056868e-4
3-hydroxypropionic acid,68540,57814,25208,2.652391265202669e-4,2.1644156934386513e-4,1.0355680147252448e-4
3-hydroxykynurenine,210032,29171,53063,8.127911324964209e-4,1.0920913652973137e-4,2.179877243945004e-4
3-hydroxy-3-methylglutaric acid,5404,5008,4385,2.0912638455143306e-5,1.8748735241880454e-5,1.801398660968819e-5
"3-Aminopiperidine-2,6-dione",50795,49800,63839,1.9656873988323543e-4,1.8643910044841187e-4,2.622565316250591e-4
3-aminoisobutyric acid,6793,5119,1920,2.6287852151330213e-5,1.916429227300041e-5,7.887538036625158e-6
"3,6-anhydro-D-galactose",27438,31779,20688,1.0618078718212843e-4,1.1897285488253175e-4,8.498822234463608e-5
"3,4-dihydroxyphenylacetic acid",12735,8912,13016,4.928246682573094e-5,3.3364362714784065e-5,5.347093493995472e-5
2-picolinic acid,2887,4216,2495,1.1172240418208498e-5,1.5783679668484025e-5,1.0249691354885297e-5
2-monoolein,31876,34801,12207,1.2335515606886528e-4,1.3028648864869843e-4,5.014748792348089e-5
2-ketoisovaleric acid,37037,39151,46094,1.4332742236549642e-4,1.4657183176015607e-4,1.8935842617718752e-4
2-ketoisocaproic acid,84597,106830,133129,3.273772160232713e-4,3.999455642751775e-4,5.469062767072243e-4
2-hydroxyglutaric acid,1387031,3773404,4636780,0.005367593972811968,0.01412670777888432,0.01904832219659521
2-Deoxyinosine,3302,1422,2439,1.277822579179926e-5,5.323622506779953e-6,1.0019638162150397e-5
2-amino-4-oxo-4-phenylbutanoic acid,13847,2735,3634,5.358573365809944e-5,1.0239175496514186e-5,1.4928808971404076e-5
"2,6-diaminopimelic acid",1298,2347,2218,5.023057867279055e-6,8.786597766112905e-6,9.111749669393022e-6
1-monopalmitin,1982,4802,2502,7.670031350498526e-6,1.7977521292234413e-5,1.027844800397716e-5
1-kestose,4359,7678,26009,1.686865118911356e-5,2.8744566530982054e-5,1.0684738374717903e-4
588382,136727,135929,103580,5.291121980119132e-4,5.088851502982365e-4,4.2551624470501767e-4
588380,44621,53944,42744,1.7267632133733334e-4,2.019532296102235e-4,1.755963155403676e-4
588375,24495,32406,15790,9.479183548459201e-5,1.2132019054480392e-4,6.486678416578711e-5
588374,58133,66503,77407,2.2496565716373905e-4,2.489710742393722e-4,3.179951337505436e-4
588356,4669,2657,2098,1.8068302913964488e-5,9.947162447619084e-6,8.618778542103949e-6
562527,59607,52814,26398,2.3066980762319152e-4,1.977227841582816e-4,1.0844543181814111e-4
554665,2167,1594,1290,8.385952541135371e-6,5.967548717164027e-6,5.299439618357528e-6
553510,14389,16890,16347,5.5683189254451705e-5,6.323205635690113e-5,6.715499181495388e-5
553483,49151,57860,50752,1.9020671589725177e-4,2.166137821675725e-4,2.0849392210145837e-4
553440,29139,35416,21629,1.1276339229171368e-4,1.325888992265252e-4,8.885393760112789e-5
553439,8774,12757,4683,3.395401365755503e-5,4.775910852249779e-5,1.9238198242456052e-5
553386,104664,147459,124461,4.0503338106386363e-4,5.52050668936192e-4,5.112973289460437e-4
553359,30822,37638,29005,1.1927634020437212e-4,1.4090752736299852e-4,1.1915522955849622e-4
553345,27851,34439,22716,1.0777903286717177e-4,1.2893124860126218e-4,9.33194343958214e-5
553344,115626,130343,114940,4.4745461399230195e-4,4.879725234889026e-4,4.721841780883832e-4
553268,37397,45058,39444,1.4472056630403297e-4,1.6868620457840446e-4,1.620396095399181e-4
553263,81037,99519,86081,3.136005704088542e-4,3.725749565768173e-4,3.536287300680887e-4
550987,22190,16956,12940,8.58718444336843e-5,6.347914432135083e-5,5.315871989267164e-5
545358,5797747,10617585,1971342,0.02243637802838485,0.039749658560934764,0.008098455733435789
545069,40904,3183,32178,1.5829211017194333e-4,1.1916378649142469e-5,1.3219020778256477e-4
544748,6534126,7388355,5367027,0.02528605008481712,0.027660206023966388,0.022048244586507403
544707,740,971,986,2.863684762547381e-6,3.6351880830403196e-6,4.050579429225211e-6
544105,37204,65657,14608,1.4397368635920643e-4,2.4580385578597144e-4,6.0011018561989746e-5
544078,2049,11690,7103,7.929310916837274e-6,4.3764519763894274e-5,2.9179782642785676e-5
544032,5150,2169,1548,1.9929698009620286e-5,8.120209013506132e-6,6.359327542029034e-6
541377,93412,66026,52235,3.6148989329604856e-4,2.471853021326675e-4,2.145862236162058e-4
540580,10030,19781,9416,3.8814538065338146e-5,7.405525795120553e-5,3.868180112128255e-5
539711,7199,4519,4362,2.785900892645756e-5,1.6918038050730386e-5,1.791950047695778e-5
539702,4136,9087,4659,1.6005675916075633e-5,3.401952019627949e-5,1.9139604016998237e-5
539604,6010,7751,5276,2.3257764085013188e-5,2.9017860794691576e-5,2.167429722980955e-5
534660,4252,5043,2571,1.64545778518263e-5,1.887976673817954e-5,1.0561906402168376e-5
524550,4111,1598,1303,1.5908929809232813e-5,5.982523745312493e-6,5.352844823813845e-6
